iter	Passed	Remaining
661	14983	860
662	15004	837
663	15025	814
664	15045	791
665	15066	769
666	15087	746
667	15106	723
668	15127	700
669	15146	678
670	15166	655
671	15187	632
672	15209	610
673	15228	587
674	15250	564
675	15270	542
676	15291	519
677	15309	496
678	15334	474
679	15354	451
680	15374	428
681	15394	406
682	15415	383
683	15434	361
684	15456	338
685	15475	315
686	15496	293
687	15515	270
688	15536	248
689	15556	225
690	15579	202
691	15598	180
692	15619	157
693	15638	135
694	15659	112
695	15684	90
696	15713	67
697	15736	45
698	15760	22
699	15781	0
